idx,AirQualityStation,no2,img_path,s5p_path,date_str,no2_norm,18.71056311
0,06-097-0004,13.53359245,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,1-2018,-0.3939193141,13.1422108
1,06-097-0004,13.2578217,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,2-2018,-0.4149029026,
2,06-097-0004,8.389698006,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,3-2018,-0.7853218351,
3,06-097-0004,5.649907537,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,4-2018,-0.9937944057,
4,06-097-0004,3.877958235,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,5-2018,-1.128623266,
5,06-097-0004,3.758715636,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,6-2018,-1.137696518,
6,06-097-0004,2.666050135,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,7-2018,-1.2208382,
7,06-097-0004,3.856291174,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,8-2018,-1.130271928,
8,06-097-0004,5.415039576,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,9-2018,-1.011665673,
9,06-097-0004,8.039928979,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,10-2018,-0.8119360047,
